#{"t_start": 1765941717.357403, "env_id": "None"}
r,l,t
0.0,1936,57.569266
0.0,1936,97.323712
0.0,1936,137.278709
0.0,1936,192.856194
0.0,1936,249.427832
0.0,1936,302.86903
0.0,1936,359.63822
0.0,1936,416.521829
0.0,1936,472.387146
1.0,1603,519.319129
1.0,672,539.109348
1.0,1768,590.595529
1.0,136,595.15219
1.0,79,597.45041
1.0,65,599.56415
1.0,99,602.457323
1.0,989,628.197645
1.0,59,629.912048
1.0,46,631.19116
1.0,50,632.677565
1.0,40,633.989987
1.0,42,635.033746
1.0,47,636.524513
1.0,99,639.570121
1.0,42,640.744997
1.0,41,641.973597
1.0,39,643.099932
1.0,43,644.447281
1.0,39,645.502329
1.0,39,646.794283
1.0,39,647.817498
1.0,39,649.133962
1.0,39,650.103478
1.0,39,651.396729
1.0,39,652.415859
1.0,39,653.56779
1.0,39,654.737653
1.0,39,655.881435
1.0,39,657.050434
1.0,39,658.18789
1.0,39,659.330586
1.0,39,660.48645
1.0,39,661.548829
1.0,39,662.793152
1.0,39,663.847937
1.0,39,665.105307
1.0,39,666.145986
1.0,39,667.403793
1.0,39,668.416826
1.0,39,669.711417
1.0,39,670.723782
1.0,39,671.683331
1.0,39,672.981856
1.0,39,673.992515
1.0,39,675.278422
1.0,39,676.336921
1.0,39,677.603989
1.0,39,678.665896
1.0,39,679.788536
1.0,39,680.967498
1.0,39,682.105945
1.0,39,683.269931
1.0,39,684.378816
1.0,39,685.571386
1.0,39,686.675915
1.0,39,687.858921
1.0,39,688.969654
1.0,39,690.041751
1.0,39,691.328049
1.0,39,692.357849
1.0,39,693.630638
1.0,39,694.79354
1.0,39,695.966121
1.0,39,697.149263
1.0,39,698.222939
1.0,39,699.520505
1.0,39,700.669132
1.0,39,701.845246
1.0,39,702.982319
1.0,39,704.161771
1.0,39,705.343765
1.0,39,706.606683
1.0,39,707.674167
1.0,39,708.823465
1.0,39,710.079384
1.0,39,711.224307
1.0,39,712.521883
1.0,39,713.562732
1.0,39,714.880248
1.0,39,715.954298
1.0,39,717.073306
1.0,39,718.313307
1.0,39,719.399804
1.0,39,720.672428
1.0,39,721.732078
1.0,39,723.056414
1.0,39,724.127544
1.0,39,725.394299
1.0,39,726.468995
1.0,39,727.577169
1.0,39,728.743072
1.0,39,729.85321
1.0,39,730.927605
1.0,39,732.059021
1.0,39,733.214069
1.0,39,734.418641
1.0,39,735.435423
