#{"t_start": 1765569121.8609564, "env_id": "None"}
r,l,t
0.0,576,1.951936
0.0,576,3.857166
0.0,576,5.756823
0.0,576,7.66386
1.0,416,9.121442
1.0,226,9.743719
1.0,129,10.402565
1.0,143,10.792382
1.0,194,11.327927
1.0,162,11.769755
1.0,180,12.548093
1.0,181,13.040602
1.0,66,13.220759
1.0,76,13.427927
1.0,79,13.92674
1.0,126,14.270767
1.0,143,14.660313
1.0,91,14.914554
1.0,87,15.15217
1.0,65,15.610044
1.0,78,15.822599
1.0,230,16.453635
1.0,126,16.796275
1.0,57,17.232227
1.0,46,17.361048
1.0,103,17.643434
1.0,58,17.800959
1.0,167,18.255744
1.0,52,18.397943
1.0,54,18.829087
1.0,44,18.948416
1.0,57,19.103934
1.0,42,19.219299
1.0,59,19.380125
1.0,55,19.530328
1.0,41,19.642484
1.0,77,19.85224
1.0,78,20.070879
1.0,44,20.190283
1.0,43,20.588525
1.0,40,20.698154
1.0,49,20.833487
1.0,50,20.970264
1.0,37,21.071738
1.0,42,21.192107
1.0,33,21.283041
1.0,46,21.408368
1.0,42,21.524147
1.0,26,21.595412
1.0,33,21.684955
1.0,27,21.75965
1.0,28,21.836424
1.0,34,22.210259
1.0,30,22.292797
1.0,37,22.394337
1.0,31,22.484925
1.0,43,22.60271
1.0,31,22.687958
1.0,53,22.833214
1.0,29,22.91178
1.0,48,23.04345
1.0,38,23.147212
1.0,43,23.264801
1.0,44,23.38512
1.0,30,23.467522
1.0,39,23.573586
1.0,41,23.982734
1.0,30,24.067532
1.0,36,24.168451
1.0,29,24.248589
1.0,35,24.345036
1.0,38,24.454185
1.0,29,24.533612
1.0,31,24.619142
1.0,26,24.69083
1.0,31,24.775319
1.0,72,24.973163
1.0,27,25.047798
1.0,44,25.169618
1.0,33,25.260152
1.0,23,25.633068
1.0,33,25.729853
1.0,27,25.804189
1.0,33,25.895707
1.0,25,25.964039
1.0,29,26.044135
1.0,51,26.183558
1.0,26,26.254856
1.0,29,26.334844
1.0,39,26.441384
1.0,53,26.5875
1.0,26,26.659191
1.0,31,26.74452
1.0,35,26.840917
1.0,37,26.942774
1.0,31,27.032637
1.0,22,27.406454
1.0,41,27.518904
1.0,30,27.601113
1.0,28,27.678272
1.0,30,27.761134
1.0,36,27.85922
1.0,38,27.964599
1.0,33,28.055243
1.0,36,28.153794
1.0,30,28.242291
1.0,27,28.316126
1.0,42,28.432054
1.0,41,28.545239
1.0,27,28.619378
1.0,34,28.712627
1.0,29,29.101083
1.0,38,29.205693
1.0,69,29.394859
1.0,40,29.509648
1.0,32,29.598243
1.0,32,29.686628
1.0,26,29.757511
1.0,27,29.831213
1.0,77,30.043235
1.0,33,30.133458
1.0,37,30.23489
1.0,45,30.358401
1.0,60,30.834116
1.0,48,30.966564
1.0,32,31.054185
1.0,45,31.178119
1.0,50,31.314867
1.0,39,31.421847
1.0,43,31.540067
1.0,29,31.619878
1.0,48,31.751612
1.0,34,31.844408
1.0,43,31.962486
1.0,36,32.06541
1.0,26,32.136697
1.0,28,32.527887
1.0,38,32.632642
1.0,45,32.755927
1.0,45,32.879177
1.0,37,32.980954
1.0,64,33.157212
1.0,38,33.261923
1.0,47,33.396793
1.0,55,33.546885
1.0,43,33.664968
1.0,58,33.8247
1.0,72,34.329684
1.0,37,34.431077
1.0,29,34.510957
1.0,36,34.614736
1.0,33,34.704648
1.0,40,34.815629
1.0,36,34.914266
1.0,28,34.991533
1.0,30,35.073699
1.0,36,35.172329
1.0,35,35.268131
1.0,33,35.359365
1.0,34,35.452287
1.0,39,35.559253
1.0,32,35.953853
1.0,46,36.080661
1.0,41,36.19274
1.0,32,36.280816
1.0,29,36.360775
1.0,48,36.492157
1.0,27,36.56672
1.0,23,36.630072
1.0,37,36.732348
1.0,31,36.817825
1.0,28,36.895284
1.0,41,37.007439
1.0,27,37.081849
1.0,34,37.181726
1.0,29,37.261163
1.0,38,37.36558
1.0,29,37.759757
1.0,29,37.839751
1.0,26,37.911014
1.0,32,37.998727
1.0,28,38.075958
1.0,29,38.155479
1.0,27,38.230696
1.0,26,38.302036
1.0,28,38.380143
1.0,30,38.46811
1.0,30,38.550879
1.0,32,38.638577
1.0,37,38.741347
1.0,46,38.867149
1.0,30,38.949766
1.0,25,39.018731
1.0,24,39.085042
1.0,24,39.453062
1.0,25,39.52185
1.0,26,39.594187
1.0,26,39.669942
1.0,25,39.741386
1.0,26,39.81296
1.0,28,39.890789
1.0,27,39.965343
1.0,27,40.039747
1.0,24,40.10611
1.0,31,40.191848
1.0,23,40.255624
1.0,21,40.314015
1.0,37,40.415567
1.0,32,40.503968
1.0,26,40.57534
1.0,31,40.661137
1.0,29,40.741306
1.0,30,41.110388
1.0,28,41.18786
1.0,28,41.26537
1.0,26,41.336649
1.0,26,41.409635
1.0,34,41.503121
1.0,30,41.58572
1.0,24,41.65225
1.0,30,41.735651
1.0,25,41.80503
1.0,27,41.87957
1.0,28,41.956826
1.0,22,42.017644
1.0,24,42.084231
1.0,24,42.15067
1.0,24,42.221673
1.0,27,42.298191
1.0,29,42.37873
1.0,25,42.4478
1.0,25,42.516336
