#{"t_start": 1765569164.700731, "env_id": "None"}
r,l,t
0.0,576,1.917372
1.0,541,3.723023
0.0,576,5.629765
1.0,365,6.953344
0.0,576,8.864982
0.0,576,10.765196
0.0,576,12.673562
0.0,576,14.575788
0.0,576,16.482357
1.0,365,17.809559
1.0,285,18.599174
0.0,576,20.768633
0.0,576,22.667522
1.0,490,24.334492
1.0,486,25.988726
1.0,117,26.308618
1.0,220,26.913351
1.0,294,28.034002
1.0,373,29.372985
1.0,153,29.797247
1.0,105,30.083809
1.0,106,30.373954
1.0,151,31.104264
1.0,45,31.227895
1.0,306,32.069929
1.0,193,32.913096
1.0,79,33.129525
1.0,68,33.318504
1.0,86,33.555449
1.0,143,33.945752
1.0,118,34.586327
1.0,170,35.05583
1.0,126,35.400661
1.0,104,35.68514
1.0,50,35.82239
1.0,149,36.551377
1.0,68,36.735977
1.0,52,36.877386
1.0,311,38.049784
1.0,37,38.151717
1.0,59,38.313431
1.0,47,38.442626
1.0,55,38.598587
1.0,65,38.77617
1.0,38,38.880332
1.0,72,39.077712
1.0,131,39.756707
1.0,82,39.981387
1.0,66,40.161499
1.0,33,40.252139
1.0,37,40.352369
1.0,93,40.607891
1.0,96,40.870632
1.0,90,41.438955
1.0,29,41.517741
1.0,45,41.640973
1.0,79,41.856084
1.0,84,42.085118
1.0,62,42.254296
1.0,81,42.479751
1.0,36,42.578151
