#{"t_start": 1765565412.617016, "env_id": "None"}
r,l,t
0.0,576,4.287673
0.0,576,8.521437
0.0,576,12.623202
0.0,576,16.710938
0.2125,504,20.444865
0.0,576,24.524104
0.0,576,28.611778
0.0,576,32.783732
0.0,576,37.051271
0.0,576,42.627612
0.571875,274,43.963444
0.0,576,48.068289
0.417188,373,51.163083
0.15625,540,55.071151
0.501563,319,57.909526
0.585938,265,59.19175
0.573438,273,61.809445
0.63125,236,62.950939
0.729688,173,65.079801
0.8125,120,65.669446
0.828125,110,66.218736
0.834375,106,66.732456
0.795312,131,67.362629
0.889062,71,69.083014
0.88125,76,69.447107
0.84375,100,69.925847
0.884375,74,70.282987
0.829688,109,70.804157
0.910937,57,71.078062
0.873437,81,72.80709
0.890625,70,73.143078
0.940625,38,73.325284
0.848437,97,73.789074
0.892188,69,74.124569
0.948438,33,74.284109
0.907813,59,74.569346
0.879687,77,74.938026
0.889062,71,76.588992
0.904687,61,76.881291
0.935937,41,77.078652
0.884375,74,77.434304
0.904687,61,77.732489
0.923438,49,77.968979
0.9,64,78.275747
0.910937,57,78.548434
0.915625,54,78.806608
0.934375,42,80.322009
0.921875,50,80.564517
0.948438,33,80.722591
0.895312,67,81.04607
0.935937,41,81.243516
0.923438,49,81.480399
0.934375,42,81.689433
0.95,32,81.843344
0.934375,42,82.045842
0.939063,39,82.234858
0.928125,46,82.456546
0.954688,29,82.596694
0.940625,38,84.078981
0.934375,42,84.286047
0.9375,40,84.479852
0.921875,50,84.720403
0.942187,37,84.898804
0.946875,34,85.062169
0.940625,38,85.246014
0.940625,38,85.436246
0.921875,50,85.678205
0.939063,39,85.865704
0.939063,39,86.053935
0.948438,33,86.212929
0.951562,31,86.363522
0.942187,37,87.841378
0.948438,33,88.006378
0.946875,34,88.17029
0.932813,43,88.378845
0.948438,33,88.538978
0.951562,31,88.688818
0.942187,37,88.867017
0.939063,39,89.056442
0.904687,61,89.355486
0.942187,37,89.535566
0.929688,45,89.752807
0.946875,34,89.917324
0.951562,31,90.066844
0.942187,37,90.244836
0.946875,34,91.707815
0.945312,35,91.884309
0.942187,37,92.063307
0.939063,39,92.252168
0.951562,31,92.402275
0.95,32,92.557416
0.939063,39,92.745394
0.934375,42,92.949219
0.95625,28,93.091042
0.942187,37,93.270626
0.954688,29,93.411466
0.932813,43,93.618828
0.945312,35,93.788249
0.957812,27,93.919311
0.953125,30,94.06641
