#{"t_start": 1765565358.3308225, "env_id": "None"}
r,l,t
0.0,576,4.187133
0.21875,500,6.593755
0.3875,392,7.829338
0.584375,266,9.432367
0.0,576,11.726837
0.585938,265,13.168823
0.0,576,15.403636
0.617188,245,16.078398
0.5125,312,17.583343
0.603125,254,18.276838
0.485937,329,19.829491
0.535937,297,20.638802
0.596875,258,21.994334
0.403125,382,23.691944
0.804688,125,24.034118
0.6,256,24.739765
0.782813,139,25.763678
0.532813,299,26.582531
0.759375,154,27.654465
0.773438,145,28.048962
0.88125,76,28.257228
0.839063,103,28.537719
0.907813,59,28.702069
0.742188,165,29.799218
0.78125,140,30.187237
0.890625,70,30.378673
0.867188,85,30.609787
0.895312,67,30.792221
0.845313,99,31.718071
0.910937,57,31.873638
0.860938,89,32.116964
0.909375,58,32.275117
0.885938,73,32.479073
0.895312,67,32.660406
0.698438,193,33.843165
0.86875,84,34.072716
0.940625,38,34.176219
0.873437,81,34.396812
0.828125,110,34.699183
0.907813,59,34.860244
0.917188,53,35.009387
0.946875,34,35.751502
0.921875,50,35.887956
0.934375,42,36.003046
0.94375,36,36.101597
0.925,48,36.232697
0.921875,50,36.37472
0.9125,56,36.527581
0.91875,52,36.668626
0.9125,56,36.821088
0.851562,95,37.078913
0.876563,79,37.950292
0.904687,61,38.116416
0.879687,77,38.326224
0.878125,78,38.53864
0.907813,59,38.700071
0.910937,57,38.860561
0.934375,42,38.975004
0.9,64,39.148482
0.945312,35,39.894579
0.929688,45,40.017551
0.934375,42,40.136678
0.951562,31,40.221501
0.929688,45,40.344071
0.890625,70,40.534941
0.9125,56,40.686604
0.9375,40,40.796384
0.845313,99,41.065527
0.939063,39,41.171975
0.925,48,41.950613
0.95625,28,42.027617
0.942187,37,42.128595
0.948438,33,42.21858
0.945312,35,42.314188
0.917188,53,42.459951
0.954688,29,42.538919
0.94375,36,42.637241
0.953125,30,42.72298
0.959375,26,42.794851
0.932813,43,42.912116
0.903125,62,43.080966
0.9375,40,43.190071
0.94375,36,43.935477
0.934375,42,44.053793
0.94375,36,44.152439
0.910937,57,44.308169
0.946875,34,44.401222
0.953125,30,44.483198
0.923438,49,44.617108
0.960938,25,44.685364
0.9625,24,44.750751
0.94375,36,44.849454
0.942187,37,44.951004
0.934375,42,45.06604
0.953125,30,45.148271
0.90625,60,45.316473
0.940625,38,46.068003
0.925,48,46.199386
0.935937,41,46.311743
0.951562,31,46.396575
0.940625,38,46.501928
0.940625,38,46.60971
0.932813,43,46.727842
0.95,32,46.815609
0.948438,33,46.905196
0.94375,36,47.003972
0.945312,35,47.099552
0.9375,40,47.209493
0.948438,33,47.299603
0.929688,45,48.076307
0.95,32,48.16721
0.926562,47,48.29782
0.9375,40,48.422769
0.945312,35,48.529018
0.946875,34,48.623276
0.929688,45,48.7479
0.945312,35,48.843937
0.951562,31,48.929156
0.951562,31,49.014158
0.951562,31,49.099446
0.953125,30,49.181566
0.932813,43,49.299395
0.946875,34,49.395077
0.945312,35,50.14947
0.942187,37,50.250881
0.934375,42,50.365589
0.942187,37,50.467489
0.964063,23,50.531153
0.960938,25,50.600186
0.928125,46,50.72592
0.954688,29,50.806067
0.840625,102,51.089736
0.959375,26,51.16042
0.959375,26,51.231968
0.948438,33,51.322515
0.95,32,51.410637
0.953125,30,51.493484
0.95625,28,52.217673
0.964063,23,52.281102
0.957812,27,52.361059
0.95625,28,52.438244
0.940625,38,52.542749
0.946875,34,52.635519
0.953125,30,52.717974
0.959375,26,52.789859
0.959375,26,52.861324
0.965625,22,52.922242
0.94375,36,53.020413
0.960938,25,53.089255
0.959375,26,53.161268
0.95,32,53.248789
0.95,32,53.33671
0.93125,44,53.457494
0.959375,26,53.528728
